Frame,Time_ms
0,0.0
1,40.0
2,80.0
3,120.0
4,160.0
5,200.0
6,240.0
7,280.0
8,320.0
9,360.0
10,400.0
11,440.0
12,480.0
13,520.0
14,560.0
15,600.0
16,640.0
17,680.0
18,720.0
19,760.0
20,800.0
21,840.0
22,880.0
23,920.0
24,960.0
25,1000.0
26,1040.0
27,1080.0
28,1120.0
29,1160.0
30,1200.0
31,1240.0
32,1280.0
33,1320.0
34,1360.0
35,1400.0000000000002
36,1440.0
37,1480.0
38,1520.0
39,1560.0
40,1600.0
41,1640.0000000000002
42,1680.0
43,1720.0
44,1760.0
45,1800.0
46,1840.0
47,1880.0000000000002
48,1920.0
49,1960.0
50,2000.0
51,2040.0
52,2080.0
53,2120.0
54,2160.0
55,2200.0
56,2240.0
57,2280.0000000000005
58,2320.0
59,2360.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
